url_id,url,positive_score,negative_score,polarity_score,subjectivity_score,avg_sentence_length,percentage_complex_words,fog_index,avg_words_per_sentence,complex_word_count,syllable_per_word,personal_pronouns,average_word_length
url001,https://www.cnn.com/2024/07/26/politics/fbi-trump-interview-assassination-attempt/index.html,20,30,-0.1999999960000001,0.15974440843532137,313.0,1.0,125.60000000000001,313.0,313,6.987220447284345,5,6.987220447284345
url002,https://www.cnn.com/2024/07/26/politics/fbi-trump-interview-assassination-attempt/index.html,20,30,-0.1999999960000001,0.15974440843532137,313.0,1.0,125.60000000000001,313.0,313,6.987220447284345,5,6.987220447284345
url003,https://www.cnn.com/2024/07/26/politics/martin-indyk-former-ambassador-to-israel-dies/index.html,8,12,-0.1999999900000005,0.12903225723204995,155.0,0.9935483870967742,62.39741935483872,155.0,154,6.7290322580645165,4,6.7290322580645165
url004,https://www.cnn.com/2024/07/26/politics/trump-netanyahu-meeting-mar-a-lago/index.html,79,36,0.37391304022684313,0.14197530846669715,810.0,0.9950617283950617,324.39802469135805,810.0,806,6.654320987654321,13,6.654320987654321
url005,https://www.cnn.com/2024/07/25/politics/harris-netanyahu-israel-hamas-ceasefire/index.html,22,46,-0.3529411712802769,0.12164579584678749,559.0,0.9964221824686941,223.99856887298748,559.0,557,6.72093023255814,19,6.72093023255814
url006,https://www.cnn.com/2024/07/20/politics/senate-race-rankings-july-2024/index.html,127,67,0.3092783489212456,0.10492157917527226,1849.0,0.9924283396430503,739.9969713358573,1849.0,1835,6.509464575446187,3,6.509464575446187
url007,https://www.cnn.com/2024/07/26/politics/harris-ballot-legal-obstacles-48-states/index.html,5,17,-0.5454545206611581,0.045833333237847225,480.0,1.0,192.4,480.0,480,7.083333333333333,3,7.083333333333333
url008,https://www.cnn.com/2024/07/26/politics/barack-michelle-obama-kamala-harris-endorsement/index.html,19,8,0.4074073923182447,0.09278350483579552,291.0,0.993127147766323,116.79725085910653,291.0,289,6.752577319587629,14,6.752577319587629
url009,https://www.cnn.com/2024/07/26/politics/doug-emhoff-kamala-harris-2024-bid/index.html,59,20,0.4936708798269509,0.1107994388347834,713.0,0.9957924263674615,285.598316970547,713.0,710,6.826086956521739,18,6.826086956521739
url010,https://www.cnn.com/2024/07/25/politics/biden-oval-office-address-analysis/index.html,58,49,0.08411214874661543,0.13753213349931603,778.0,0.9987146529562982,311.59948586118253,778.0,777,6.795629820051414,17,6.795629820051414
url011,https://www.cnn.com/2024/07/25/politics/biden-oval-office-address-analysis/index.html,58,49,0.08411214874661543,0.13753213349931603,778.0,0.9987146529562982,311.59948586118253,778.0,777,6.795629820051414,17,6.795629820051414
url012,https://www.cnn.com/2024/07/24/politics/polling-harris-voters-color-women/index.html,31,9,0.5499999862500004,0.12698412658100278,315.0,1.0,126.4,315.0,315,6.177777777777778,1,6.177777777777778
url013,https://www.cnn.com/2024/07/24/politics/joe-biden-25th-amendment-what-matters/index.html,31,34,-0.04615384544378699,0.12428298255395223,523.0,0.9961759082217974,209.5984703632887,523.0,521,6.869980879541109,4,6.869980879541109
url014,https://www.cnn.com/2024/07/24/politics/vance-trump-dominance-gop/index.html,106,79,0.14594594515704895,0.14396887148329268,1285.0,0.9961089494163424,514.3984435797665,1285.0,1280,7.108949416342412,29,7.108949416342412
url015,https://www.cnn.com/2024/07/23/politics/netanyahu-congress-presidents-what-matters/index.html,21,17,0.10526315512465383,0.10354223405029364,367.0,1.0,147.20000000000002,367.0,367,6.615803814713897,14,6.615803814713897
url016,https://www.cnn.com/2024/07/23/politics/vice-presidents-kamala-harris-what-matters/index.html,16,29,-0.28888888246913597,0.18987341692036533,237.0,0.9957805907172996,95.19831223628692,237.0,236,6.687763713080169,3,6.687763713080169
url017,https://www.cnn.com/2024/06/28/politics/election-biden-presidential-race-what-matters/index.html,27,14,0.31707316299821553,0.07854406115221445,522.0,0.9961685823754789,209.19846743295022,522.0,520,7.021072796934866,4,7.021072796934866
